learning_times,y_pred_train_list,y_pred_test_list,train_mae_list,test_mae_list,train_r2_list,test_r2_list
50,[145000.   389383.28 271300.   ... 200000.   410521.6  241000.  ],[187910. 152000. 326980. ... 158000. 200000. 142000.],89.32570728139255,213.58098969546415,0.9999679386594048,0.9998648258721397
100,[145000.   389440.52 271350.   ... 200000.   410536.08 241000.  ],[187916. 152000. 326990. ... 158000. 200000. 142000.],82.820907599735,207.18074582942316,0.9999702325397517,0.9998704279908706
150,"[145000.         389454.18666667 271270.         ... 200000.
 410460.90666667 241000.        ]","[187910.66666667 152000.         327000.         ... 158000.
 200000.         142000.        ]",79.94302814815504,203.3893336633239,0.9999719346807799,0.9998730610373916
200,[145000.   389442.02 271297.5  ... 200000.   410457.2  241000.  ],[187908.5 152000.  327005.  ... 158000.  200000.  142000. ],78.92487491006364,201.91627200110395,0.9999727512340444,0.9998743420113195
400,[145000.   389405.02 271371.25 ... 200000.   410559.29 241000.  ],[187915.25 152000.   326982.5  ... 158000.   200000.   142000.  ],76.93436296601286,200.0467701173061,0.9999723722452907,0.9998741717342662
450,"[145000.         389395.07555556 271394.44444444 ... 200000.
 410527.95555556 241000.        ]","[187921.55555556 152000.         326980.         ... 158000.
 200000.         142000.        ]",76.64463544130436,199.8943117322459,0.9999722215870034,0.9998748444882507
500,[145000.    389388.896 271393.    ... 200000.    410531.992 241000.   ],[187918.4 152000.  326986.  ... 158000.  200000.  142000. ],76.4650979165133,199.5008430398381,0.9999725892495871,0.9998758777309222
550,"[145000.         389388.08727273 271386.36363636 ... 200000.
 410536.50181818 241000.        ]","[187922.18181818 152000.         326989.09090909 ... 158000.
 200000.         142000.        ]",76.31951367341706,199.28239154726955,0.9999724258142905,0.9998761789075772
600,"[145000.         389390.56       271394.16666667 ... 200000.
 410509.15333333 241000.        ]","[187927.16666667 152000.         326988.33333333 ... 158000.
 200000.         142000.        ]",76.14739385481077,199.11945251602427,0.9999727773150733,0.9998755335741145
650,"[145000.         389395.98153846 271390.         ... 200000.
 410539.00923077 241000.        ]","[187926.61538462 152000.         326986.15384615 ... 158000.
 200000.         142000.        ]",76.08933271453058,198.9964571907399,0.9999728155659096,0.9998761255169677
700,"[145000.         389400.82285714 271372.85714286 ... 200000.
 410536.02857143 241000.        ]","[187926.28571429 152000.         326985.71428571 ... 158000.
 200000.         142000.        ]",75.98071799357544,198.83547355992812,0.9999727090109364,0.9998765939455978
750,"[145000.         389403.65333333 271371.06666667 ... 200000.
 410532.33066667 241000.        ]","[187924.         152000.         326986.66666667 ... 158000.
 200000.         142000.        ]",75.91729783625284,198.8682094036249,0.9999727200069222,0.9998761540504758
800,[145000.    389400.365 271366.625 ... 200000.    410517.705 241000.   ],[187927.   152000.   326988.75 ... 158000.   200000.   142000.  ],75.80675076296377,198.66009694912137,0.9999728491401381,0.999876535481377
850,"[145000.         389397.72705882 271356.82352941 ... 200000.
 410515.84470588 241000.        ]","[187927.76470588 152000.         326985.88235294 ... 158000.
 200000.         142000.        ]",75.8090048405149,198.58124621779166,0.9999725713580311,0.9998764205953421
900,"[145000.         389398.28444444 271347.55555556 ... 200000.
 410512.34222222 241000.        ]","[187927.88888889 152000.         326985.55555556 ... 158000.
 200000.         142000.        ]",75.75821385689157,198.52990590343626,0.9999723975716016,0.9998765876874857
950,"[145000.         389395.50736842 271347.15789474 ... 200000.
 410535.81473684 241000.        ]","[187926.42105263 152000.         326987.36842105 ... 158000.
 200000.         142000.        ]",75.63207175987104,198.41240967057453,0.9999728167493781,0.999876587815956
1000,[145000.    389391.12  271330.3   ... 200000.    410521.216 241000.   ],[187928.3 152000.  326987.  ... 158000.  200000.  142000. ],75.62280485771207,198.33278519127802,0.9999727998962957,0.999876689077053
